text,polarity,subjectivity,pred class,actual class
great one more video to encourage fair skin  when will this obsession for fairness go , 0.67 , 0.72 , pos,against
is it permanent in the color change or i have to use whole life? , 0.2 , 0.4 , pos,for
i love my dark skin , 0.17 , 0.5 , pos,against
thanks for the knowledge , 0.2 , 0.2 , pos,for
people loving their color  that age is gone fair and lovely one , 0.6 , 0.87 , pos,against
actually i'm living in my kennel because i'm a dog breeder so just because of that i have to work in direct sunlight please for that thing which kind of precaution i have to follow to get best results , 0.42 , 0.42 , pos,for
did you consult any doctor before taking these tablets? , 0.0 , 0.0 , neg,against
love you sister , 0.5 , 0.6 , pos,for
i am worried about this girls mental balance try to be organic , -0.21 , 0.2 , neg,against
mitochondria theory of ageing or b much effect karta h kya ye , 0.2 , 0.2 , pos,for
this is harmful , 0.0 , 0.0 , neg,against
you guys need to be sued for playing with others health and taking an undue advantage of insecurities of people , 0.0 , 0.0 , neg,against
used for 4 months just a waste of money , -0.22 , 0.0 , neg,against
i'm 53 years old medium complexion , 0.1 , 0.2 , pos,for
be happy with what you have , 0.8 , 1.0 , pos,against
everyone is beautiful in this world  so love yourself , 0.68 , 0.8 , pos,against
where can i find this , 0.0 , 0.0 , neg,for
please give me your mobile number i contact with you please reply , 0.0 , 0.0 , neg,for
thanks didi for the suggestion , 0.2 , 0.2 , pos,for
have some , 0.0 , 0.0 , neg,for
looking gorgeous , 0.7 , 0.9 , pos,for
take natural gluthonine from cabbage cauliflower broccoli radish  keep glowing  avoid any form of supplements  go natural foods , 0.1 , 0.4 , pos,for
can i thyroid patient take it too? , 0.0 , 0.0 , neg,for
you are looking beautiful , 0.85 , 1.0 , pos,for
everyone should know that she is sponsored   she gets the money and instantly create this add  even she dint use it  its all scripted , 0.0 , 0.67 , neg,against
this price may , 0.0 , 0.0 , neg,for
greedy , 0.0 , 0.0 , neg,against
but you are skin doesn't look that good it has some pigmentation inspite of makeup  or tumhari skin glow bhi nahi ho rahi hai  inspite of camera filters , 0.7 , 0.6 , pos,against
side effects problems hay , 0.0 , 0.0 , neg,for
the more chemical u put in the more your body will get affected , 0.5 , 0.5 , pos,against
don't promote this nonsense  our skin shade is enough for us , 0.0 , 0.5 , neg,against
i used this product but no result  try for your business carry on , 0.0 , 0.0 , neg,against
i tried but it didn't work i got darker skin so i stopped to talk , 0.0 , 0.0 , neg,against
is there any side effects  can i use it without consulting a doctor? , 0.0 , 0.0 , neg,for
how to become a racist in one month? , 0.0 , 0.0 , neg,against
i used last 3months before but it doesn't work on my face  i wasted my 15000rs i felt really bad place guys don't buy , -0.23 , 0.24 , neg,against
dear congratulation you will get skin cancer soon cancer of melanocyte   because your chemical kills skin cells which prevent skin cancer causing by beta rays of sunlight , 0.0 , 0.0 , neg,against
fake never use   products which encourages people to get fair skin because it has many cancer properties uses , 0.23 , 0.8 , pos,against
link of oscar z , 0.0 , 0.0 , neg,for
i have a gift job no need to be a fair skin tone , 0.7 , 0.9 , pos,against
rip , 0.0 , 0.0 , neg,against
just drink every day one glass of orange juice , 0.0 , 0.0 , neg,for
is it permanent solution? , 0.0 , 0.0 , neg,for
dark circles and pigmentation will go , -0.35 , 0.4 , neg,for
drink timing pals , 0.0 , 0.0 , neg,for
uneducated women  nonsense  its harmful to stomach , 0.0 , 0.0 , neg,against
you are beautiful , 0.85 , 1.0 , pos,for
is it safe without consulting a doctor? , 0.5 , 0.5 , pos,for
uneducated women  don't try these guys i am a dork , 0.0 , 0.0 , neg,against
i have dark skin  i'm not ugly  you are , 0.1 , 0.7 , pos,against
its very injurious to health , 0.2 , 0.3 , pos,against
love it a lot , 0.5 , 0.6 , pos,for
hey you are yourself into makeup and giving knowledge to people please don't mislead people , 0.0 , 0.0 , neg,against
you are beautiful maiden , 0.85 , 1.0 , pos,for
please give me some suggestions , 0.0 , 0.0 , neg,for
please reply first  nice content , 0.42 , 0.67 , pos,for
can glutathione tablets can used by men  seems promising , 0.2 , 0.5 , pos,for
why this is even on my recommendations , 0.0 , 0.0 , neg,against
are you a dermatologist  fraud? , 0.0 , 0.0 , neg,against
side effects , 0.0 , 0.0 , neg,for
this lady is sick just like others who believe in fairness is beauty  absolutely insane  please change your mindset , -0.86 , 0.93 , neg,against
thanks so much , 0.2 , 0.2 , pos,for
i better use sweat fir glowing skin , 0.5 , 0.5 , pos,for
you are so beautiful , 0.85 , 1.0 , pos,for
now a day everyone promoting chemicals processed food only , 0.0 , 1.0 , neg,against
welcome stupids to my channel , 0.8 , 0.9 , pos,against
superb , 1.0 , 1.0 , pos,for
mom thank you so much , 0.2 , 0.2 , pos,for
research  doesn't believe blindly , -0.25 , 0.67 , neg,against
how many capsules in a day  nicely? , 0.55 , 0.75 , pos,for
love the fact that many guys don't have problems with dark toned girls anymore  people have grown wiser , 0.28 , 0.5 , pos,against
if you take these pills for whitening    you will conform to disease warning for you , 0.0 , 0.0 , neg,against
in logon ne youtube ko clinic ban liya hai dr joe bequest hai ye sb , 0.0 , 0.0 , neg,against
after spending 40k no result , 0.0 , 0.0 , neg,against
in the name of proving she wants views for her videos , 0.2 , 0.1 , pos,against
she   wears 10kg of makeup for the video , 0.0 , 0.0 , neg,against
how can i get it   it works? , 0.0 , 0.0 , neg,for
you are a liar  are you proud of it , 0.8 , 1.0 , pos,against
first remove the filters in your video it is edited before upload , 0.25 , 0.33 , pos,against
so skin whitening creams were not enough we need capsules  medicines  drips its inject stuff to make one white  when will this madness stop     is being happy with who you are gosh , 0.27 , 0.5 , pos,against
mom pleases your shade of lipstick , 0.0 , 0.0 , neg,for
are there no side effects , 0.0 , 0.0 , neg,for
guys  let report this video and save thousands of people from getting badly affected by this , -0.7 , 0.67 , neg,against
i think its nice product , 0.6 , 1.0 , pos,for
rip doctors , 0.0 , 0.0 , neg,against
definitely i can see the change in your skin tone but  please don't make such experiments it might give opposite results  in  future  best way is to do facial exercise , 0.17 , 0.24 , pos,for
works for me , 0.0 , 0.0 , neg,for
i used it for 3 months but i cannot see any results , 0.0 , 0.0 , neg,for
beautiful man , 0.85 , 1.0 , pos,for
don't  try  this  don't  waste  your  money  don't  damage  your  liver  with  side  effect of  this  medicine , -0.2 , 0.0 , neg,against
side effect too much , 0.2 , 0.2 , pos,against
i think you should try reflecting , 0.0 , 0.0 , neg,against
price , 0.0 , 0.0 , neg,for
why you use this type of artificial vitamins  is it to have no side effects  if you need then take it naturally   sweet girl , -0.12 , 0.82 , neg,for
beware of kidney stones being formed , 0.0 , 0.0 , neg,against
darker skin is more sexy and glamorous  when compared to white skin    people are doing everything to get skin tanned , 0.33 , 0.5 , pos,against
just for money don't promote such type of misleading product  you are earning money from innocent girls , 0.25 , 0.6 , pos,against
i took for 4 months   i see very little improvement   i want to become fair  any other medicine suggestions , 0.11 , 0.64 , pos,for
if you are happy with what you have then nothing is required to be young and beautiful be happy be young , 0.53 , 0.76 , pos,against
mom are you using this tablet please tell me , 0.0 , 0.0 , neg,for
this is funny , 0.25 , 1.0 , pos,against
i did not expect this from you  still promoting to get lighter skin tone instead of encouraging people to be happy in their own skin  this ad wasn't worth all , 0.57 , 0.7 , pos,against
mental who is like this , -0.1 , 0.2 , neg,against
people who think white skin is very beautiful then they are wrong  dark skin also beautiful  lord krishna was also blessed with dark skin , 0.18 , 0.62 , pos,against
its paid promotion guys fake ha don't use it , -0.5 , 1.0 , neg,against
you are good looking , 0.7 , 0.6 , pos,for
you are so cute  natural skin , 0.3 , 0.7 , pos,for
color is doesn't matter i'm dark but i'm not ugly , 0.1 , 0.7 , pos,against
i'm happy with my skin if you are talented skin color no matter , 0.75 , 0.95 , pos,against
dose anyone gets any change by using this product plz tell me , 0.0 , 0.0 , neg,for
no point in becoming fair even rihanna and will smith are black , 0.33 , 0.73 , pos,against
see no one said that being black is not fair   its just that whoever wants to be fair they can try , 0.1 , 0.58 , pos,for
how much does it cost? , 0.2 , 0.2 , pos,for
glutton 1000 available in pakistan , 0.4 , 0.4 , pos,for
make a video how to improve digestive system  i'm sure 90  people have a bad digestive system  i'm also , -0.1 , 0.78 , neg,for
am satisfied with my dark skin , 0.17 , 0.7 , pos,against
it is working , 0.0 , 0.0 , neg,for
but your skin is not glowing why , 0.0 , 0.0 , neg,against
i'm the only one to dislike this video , 0.0 , 1.0 , neg,against
discrimination from such sponsor videos   don't fool indeed , 0.0 , 0.5 , neg,against
do colors of skin matters if you have a fair heart , 0.7 , 0.9 , pos,against
wow never expected this woman to make such a video , 0.05 , 0.63 , pos,against
why you guys are promoting fairness , 0.0 , 0.0 , neg,against
any side effects , 0.0 , 0.0 , neg,for
super duper , 0.33 , 0.67 , pos,for
i love you , 0.5 , 0.6 , pos,for
allow your bodies to consume dead cells from being on the water fast for a week  start with 24hr water fast  does wonders , 0.07 , 0.53 , pos,against
take natural gluthonine from cabbage cauliflower broccoli radish  keep glowing  avoid any form of supplements  go natural foods , 0.1 , 0.4 , pos,for
how many boxes to buy incase we need to finish 4month course , 0.5 , 0.5 , pos,for
don't waste your time and health this is a paid ad , -0.2 , 0.0 , neg,against
what the hell , 0.0 , 0.0 , neg,against
report this video  upside right option , 0.29 , 0.54 , pos,against
please don't ruin their life , 0.0 , 0.0 , neg,against
this product will work a lot in west indies , 0.0 , 0.0 , neg,for
don't use any type of medicine natural looking good color don't matter , 0.4 , 0.5 , pos,against
you are so beautiful , 0.85 , 1.0 , pos,for
does it reduce pimples? , 0.0 , 0.0 , neg,for
thanks , 0.2 , 0.2 , pos,for
my advice without proper doctor advise do not opt any such products as any medical complications could cost you  alot  don't run behind the ads without consent from a doctor , -0.1 , 0.32 , neg,against
i love you , 0.5 , 0.6 , pos,for
i love you , 0.5 , 0.6 , pos,for
i love you , 0.5 , 0.6 , pos,for
i love you , 0.5 , 0.6 , pos,for
my body skin is so fair but my face has become so tanned according to body color and especially forehead what to do now , 0.35 , 0.95 , pos,for
don't create inferiority complex of your face your face and you are unique so don't waste your time in uniqueness  you're awesome , 0.22 , 0.6 , pos,against
stupidity , -0.6 , 1.0 , neg,against
we are black king  will u be our queen , -0.17 , 0.43 , neg,against
is this video  sponsored , 0.0 , 0.0 , neg,against
side effects , 0.0 , 0.0 , neg,for
melanin is required , 0.0 , 0.0 , neg,against
what the hell , 0.0 , 0.0 , neg,against
great results , 0.8 , 0.75 , pos,for
acceptance , 0.0 , 0.0 , neg,against
don't use medicine , 0.0 , 0.0 , neg,against
does this work on men and what sunscreen you suggest for men? , 0.0 , 0.0 , neg,for
i love your genuine opinion , 0.45 , 0.55 , pos,for
not fda approved , 0.0 , 0.0 , neg,against
really good , 0.7 , 0.6 , pos,against
waste video , -0.2 , 0.0 , neg,against
are you a doctor  man how are you prescribing it this is irresponsible on your part? , 0.0 , 0.0 , neg,against
that tablet is just like having juice like racine its just vitamin c  doctor had prescribed it to my lil sis as she was getting excess pimples and it worked , 0.0 , 0.0 , neg,for
i will  give you the result , 0.0 , 0.0 , neg,for
superb , 1.0 , 1.0 , pos,for
how much price , 0.2 , 0.2 , pos,for
side effects are there it's so rare to find these kinds of products without any harm to our body  so imagine what if we are using this product for long  save yourself , 0.12 , 0.65 , pos,for
guys are aware its all these rubbish stuffs are very harmful for health for fair skin we need do yoga and gym on a daily basis this lady is promoting is highly paid don't believe them and be organic , 0.26 , 0.4 , pos,against
it didn't go well with me in fact i started getting pimples all over my face and now i am cured that too , 0.0 , 0.0 , neg,against
actually it wouldn't work , 0.0 , 0.1 , neg,against
dark skin is definitely turning on , -0.07 , 0.45 , neg,against
if you think you are so because of these  damn it , 0.0 , 0.0 , neg,against
can boys use? , 0.0 , 0.0 , neg,for
carrot orange juice is a natural way to improve skin tone please don't use this type of tables  side effect  is sure , 0.3 , 0.64 , pos,against
they have any side effects madam please tell me , 0.0 , 0.0 , neg,for
thank you , 0.0 , 0.0 , neg,for
i am happy with my dusky complexion  please report this , 0.8 , 1.0 , pos,for
why is everyone crazy to become fair just accept your skin tone    love your skin there is nothing that can change you from dark to fair please use common sense  just take care of your skin  but don't try to change the skin color? , 0.14 , 0.7 , pos,against
drinking good acerola cherry powder vitamin c  is the best  for skin and body , 0.85 , 0.45 , pos,for
don't believe this too many side effects , 0.5 , 0.5 , pos,against
without makeup no one would like to see you , 0.0 , 0.0 , neg,against
i feel like reporting your channel , 0.0 , 0.0 , neg,against
you look like 40 years old grandma when you talk your wrinkles are laughing sorry grandma , -0.2 , 0.6 , neg,against
are you a doctor , 0.0 , 0.0 , neg,against
man can you share your previous pics before taking this supplement , -0.17 , 0.17 , neg,against
stop encouraging like this activity by sponsorship wake up feeling shame , 0.0 , 0.0 , neg,against
don t use pleases this drug , 0.0 , 0.0 , neg,against
just saw an old videos your skin looks far more beautiful in your old videos i am convinced skin color hardly matters , 0.23 , 0.57 , pos,against
but i can't see any changes with you , 0.0 , 0.0 , neg,against
i am so annoyed  youtube wouldn't stop suggesting me this stupid video , -0.6 , 0.9 , neg,against
this is working , 0.0 , 0.0 , neg,for
please price , 0.0 , 0.0 , neg,for
total paid promotion , 0.0 , 0.75 , neg,against
this is totally insane n harmful , -1.0 , 1.0 , neg,against
can we stop using after we get the desired color seems promising? , 0.2 , 0.5 , pos,for
can we stop using after we get the desired color seems promising? , 0.2 , 0.5 , pos,for
can we stop using after we get the desired color seems promising? , 0.2 , 0.5 , pos,for
beautiful video man , 0.85 , 1.0 , pos,for
no results , 0.0 , 0.0 , neg,against
report her video guys  this is really shameful , 0.2 , 0.2 , pos,against
madam   is this medicine available in the african country , 0.2 , 0.2 , pos,against
i just made a purchase from the link that is mentioned let us see if this works  will share my experience too , 0.0 , 0.0 , neg,for
business pure business or should i call it a scam , 0.21 , 0.5 , pos,against
pimple scars , 0.0 , 0.0 , neg,for
this medicine price , 0.0 , 0.0 , neg,for
pimples , 0.0 , 0.0 , neg,for
kindly report this video this is very harmful for our health stop this  guy come to report this type content , 0.4 , 0.6 , pos,against
report this , 0.0 , 0.0 , neg,against
she is gone crazy , -0.6 , 0.9 , neg,against
if we drink glutton 1000 is there any side effects and at age we have to drink the gelatin 1000 with water , 0.0 , 0.0 , neg,for
your voice is good  in love with that , 0.6 , 0.6 , pos,for
side effects , 0.0 , 0.0 , neg,for
please  don't  do  these  type  of  promotions  of  medicine which  are  harmful   only  for  the  sake of  money , 0.0 , 1.0 , neg,against
can boys use? , 0.0 , 0.0 , neg,for
can boys use? , 0.0 , 0.0 , neg,for
side effects , 0.0 , 0.0 , neg,for
see the well known side effects of drug is infertility and depression which the anchor is facing her   are dull , -0.29 , 0.5 , neg,against
is it useful for dark spots and pimples? , 0.07 , 0.2 , pos,for
you are beautiful , 0.85 , 1.0 , pos,for
does anyone know that gelatin 1000  15 tablets  costs you 2398 rupees? , 0.0 , 0.0 , neg,for
awesome , 1.0 , 1.0 , pos,for
nice information  new subscriber , 0.37 , 0.73 , pos,for
you will very hot and cute , 0.41 , 1.0 , pos,for
where is available? , 0.4 , 0.4 , pos,for
you are so cute , 0.5 , 1.0 , pos,for
you are so cute , 0.5 , 1.0 , pos,for
very informative video detailing video thanks for sharing  2k more to go for 70k , 0.3 , 0.33 , pos,for
price , 0.0 , 0.0 , neg,for
drugs can mess up our body and brain and its irreplaceable , -0.17 , 0.17 , neg,against
stupid , -0.8 , 1.0 , neg,against
this effects liver stops this , 0.0 , 0.0 , neg,against
is already beautiful and is telling as if it was all from eating and drinking , 0.85 , 1.0 , pos,for
no use , 0.0 , 0.0 , neg,against
we should not use chemical on our face and tablets , 0.0 , 0.0 , neg,against
side effects , 0.0 , 0.0 , neg,against
life sucks , -0.3 , 0.3 , neg,against
tablets are too much of a cost , 0.2 , 0.2 , pos,against
start making your heart white   skin never matter , 0.0 , 0.0 , neg,against
why not after all these  i see your pimples , 0.0 , 0.0 , neg,against
consuming trace elements in huge amount every day is not going to change anything in the metabolism of the body  it is common sense , 0.05 , 0.7 , pos
we should love our self the way god created us , 0.5 , 0.6 , pos,against
india is racist , 0.0 , 0.0 , neg,against
nice but i never try , 0.6 , 1.0 , pos,against
you will land in the hospital with kidney stone never go with such fools glutathione is another amino acid which if you overuse may make your liver suffer karina kapoor or aiswarya rai never use looks but we used it , 0.0 , 0.5 , neg,against
thanks for sharing this video , 0.2 , 0.2 , pos,for
nice mom love your videos , 0.55 , 0.8 , pos,for
oh i think you are working on the skin which ages totter  friends you get older do not waste time of body attachments  concentrate on the one which never ages  concentrate on supreme , 0.13 , 0.17 , pos,against
price is too high , 0.16 , 0.54 , pos,for
no brains , 0.0 , 0.0 , neg,against
it gives amazing results but you have to use it for 2 3 months , 0.6 , 0.9 , pos,for
thanks nidhi ji   you are right and great , 0.43 , 0.5 , pos,for
please guys don't buy it , 0.0 , 0.0 , neg,against
nice , 0.6 , 1.0 , pos,for
helps in pimple and dark spot , -0.15 , 0.4 , neg,for
what to do for pimples acne and pit marks , 0.0 , 0.0 , neg,for
what the hell  nonsense , 0.0 , 0.0 , neg,against
melanin production also helps in fighting ageing so the more darker you are the more lucky you are  loving your melanin girls , 0.48 , 0.7 , pos
to make white skin it doesn't need to use all this method as per my knowledge our skin just need sunlight as well as even if we live in cold weather places , -0.15 , 0.5 , neg,against
i can't buy them , 0.0 , 0.0 , neg,for
don't  use this product , 0.0 , 0.0 , neg,for
side effects any allergy , 0.0 , 0.0 , neg,for
drink adequate amount of water eat fresh fruits  maintain a healthy diet  rather than wasting money on this product , 0.38 , 0.44 , pos,against
nice work , 0.6 , 1.0 , pos,for
report this , 0.0 , 0.0 , neg,against
work well for me , 0.0 , 0.0 , neg,for
you are very beautiful , 1.0 , 1.0 , pos,for
racism at its best , 1.0 , 0.3 , pos,against
karma will come , 0.0 , 0.0 , neg,against
i love to be fair , 0.6 , 0.75 , pos,for
beauty is fairness , 0.0 , 0.0 , neg,for
